t,x,y,z,v
0,2e-06,0,0,0
0,4.27699e-06,-9.84885e-08,-2.91574e-07,1.3292e-06
0.01,4.30496e-06,-1.43117e-07,-2.09341e-07,4.26906e-07
0.02,4.21677e-06,-1.96653e-07,-2.61372e-07,4.2482e-07
0.03,4.20392e-06,-1.85448e-07,-3.29276e-07,4.12276e-07
0.04,4.23412e-06,-1.56856e-07,-3.77103e-07,4.12987e-07
0.05,4.23849e-06,-2.17122e-07,-4.15493e-07,4.15649e-07
0.06,4.19946e-06,-2.86832e-07,-4.66737e-07,4.16713e-07
0.07,4.23095e-06,-2.85942e-07,-4.53244e-07,4.20996e-07
0.08,4.18776e-06,-1.83768e-07,-4.12655e-07,4.26548e-07
0.09,4.18604e-06,-2.25989e-07,-4.26159e-07,4.12616e-07
0.1,4.14125e-06,-2.76784e-07,-5.35253e-07,4.11142e-07
0.11,4.07769e-06,-2.71559e-07,-4.63261e-07,4.14737e-07
0.12,4.0939e-06,-1.98842e-07,-5.39318e-07,4.01559e-07
0.13,4.05304e-06,-1.48544e-07,-5.66137e-07,4.04559e-07
0.14,4.0423e-06,-2.9874e-08,-5.67515e-07,4.06522e-07
0.15,3.98467e-06,5.43683e-08,-5.63241e-07,4.1139e-07
0.16,4.03998e-06,1.01858e-07,-4.89315e-07,4.0988e-07
0.17,4.08064e-06,8.93904e-08,-3.99291e-07,3.97772e-07
0.18,4.06359e-06,1.32032e-07,-4.5305e-07,4.02896e-07
0.19,3.98078e-06,1.95479e-07,-3.55168e-07,3.99189e-07
0.2,4.02527e-06,3.08861e-07,-1.9537e-07,3.97161e-07
0.21,3.97079e-06,3.30128e-07,-1.87464e-07,3.93137e-07
0.22,3.85833e-06,3.30359e-07,-2.10663e-07,3.97216e-07
0.23,3.86476e-06,3.84934e-07,-2.45405e-07,4.01101e-07
0.24,3.99572e-06,3.53018e-07,-2.61923e-07,4.11962e-07
0.25,4.06488e-06,3.46313e-07,-3.61863e-07,4.10426e-07
0.26,4.14817e-06,3.72787e-07,-3.56218e-07,4.17356e-07
0.27,4.07997e-06,3.13992e-07,-4.66916e-07,4.15469e-07
0.28,4.08546e-06,3.73913e-07,-4.66524e-07,4.22978e-07
0.29,4.04779e-06,4.58417e-07,-4.20926e-07,4.24068e-07
0.3,4.11181e-06,4.17404e-07,-4.42883e-07,4.29588e-07
0.31,4.23647e-06,4.01362e-07,-5.50165e-07,4.26826e-07
0.32,4.27052e-06,4.46982e-07,-6.44288e-07,4.49725e-07
0.33,4.28908e-06,3.84039e-07,-7.05251e-07,4.57905e-07
0.34,4.32973e-06,4.11585e-07,-8.41735e-07,4.70715e-07
0.35,4.48177e-06,3.90846e-07,-8.47903e-07,4.87503e-07
0.36,4.44659e-06,4.63785e-07,-7.94037e-07,5.2374e-07
0.37,4.48536e-06,5.13826e-07,-7.3077e-07,5.1244e-07
0.38,4.51425e-06,5.0398e-07,-7.46951e-07,5.08886e-07
0.39,4.46985e-06,5.12405e-07,-7.1056e-07,5.18831e-07
0.4,4.50313e-06,5.86235e-07,-6.75543e-07,5.11129e-07
0.41,4.43832e-06,6.46499e-07,-7.833e-07,5.08525e-07
0.42,4.37682e-06,7.27751e-07,-7.81296e-07,5.06072e-07
0.43,4.42979e-06,6.24759e-07,-7.82692e-07,4.98644e-07
0.44,4.46514e-06,5.43226e-07,-6.85296e-07,5.0458e-07
0.45,4.51424e-06,4.67633e-07,-8.24407e-07,5.12121e-07
0.46,4.42363e-06,4.85462e-07,-8.43631e-07,5.34281e-07
0.47,4.43925e-06,4.46308e-07,-9.02215e-07,5.25162e-07
0.48,4.45579e-06,4.54686e-07,-8.33621e-07,5.23502e-07
0.49,4.5136e-06,4.92273e-07,-8.80781e-07,5.20313e-07
0.5,4.38999e-06,4.35835e-07,-9.41397e-07,5.39818e-07
0.51,4.40996e-06,4.18858e-07,-9.62176e-07,5.11517e-07
0.52,4.44268e-06,4.72195e-07,-9.60859e-07,5.15651e-07
0.53,4.41065e-06,4.46314e-07,-9.01124e-07,5.2065e-07
0.54,4.41907e-06,3.93503e-07,-7.8529e-07,5.06209e-07
0.55,4.42694e-06,3.06991e-07,-7.91149e-07,5.00612e-07
0.56,4.44631e-06,2.49666e-07,-7.96419e-07,5.01525e-07
0.57,4.40487e-06,2.63595e-07,-8.50788e-07,5.09851e-07
