t,x,y,z,v
0.83,-1.54868e-07,-5.63488e-07,4.9647e-07,4.36239e-07
0.84,-1.90753e-07,-5.22956e-07,5.05384e-07,4.33253e-07
0.85,-1.63165e-07,-5.52787e-07,5.22312e-07,4.30224e-07
0.86,-1.75468e-07,-6.80707e-07,5.96568e-07,4.33686e-07
0.87,-1.3318e-07,-7.29603e-07,5.82016e-07,4.38906e-07
0.88,-1.9685e-07,-7.10467e-07,5.43988e-07,4.3864e-07
0.89,-2.89626e-07,-7.39579e-07,3.85285e-07,4.34954e-07
0.9,-2.26168e-07,-7.70874e-07,3.24031e-07,4.33374e-07
0.91,-1.98979e-07,-9.18094e-07,2.7155e-07,4.41824e-07
0.92,-1.96914e-07,-8.64368e-07,1.93855e-07,4.33434e-07
0.93,-3.86695e-08,-8.45335e-07,1.18461e-07,4.30702e-07
0.94,-9.48401e-08,-8.05355e-07,1.40189e-07,4.39769e-07
0.95,-8.81025e-08,-7.30112e-07,2.33721e-07,4.36111e-07
0.96,-1.76554e-07,-8.29728e-07,3.33917e-07,4.41428e-07
0.97,-1.3384e-07,-7.88253e-07,4.04392e-07,4.40442e-07
0.98,-1.49112e-07,-7.59671e-07,4.1299e-07,4.3158e-07
0.99,-1.48091e-07,-8.66451e-07,4.0591e-07,4.29005e-07
1,-1.83775e-07,-7.47964e-07,4.92113e-07,4.33538e-07
1.01,-2.20381e-07,-7.04259e-07,5.48258e-07,4.42018e-07
1.02,-2.2272e-07,-7.3417e-07,6.00057e-07,4.33071e-07
1.03,-2.79619e-07,-7.67555e-07,5.6802e-07,4.33674e-07
1.04,-2.25013e-07,-8.49798e-07,6.52717e-07,4.36862e-07
1.05,-2.49915e-07,-1.04e-06,6.18593e-07,4.30479e-07
1.06,-2.90615e-07,-1.07503e-06,5.13131e-07,4.33233e-07
1.07,-3.21615e-07,-1.06852e-06,5.41232e-07,4.42979e-07
1.08,-2.86429e-07,-1.15971e-06,5.94186e-07,4.3937e-07
1.09,-3.30571e-07,-1.0545e-06,5.73415e-07,4.40861e-07
1.1,-3.81512e-07,-1.0291e-06,4.98443e-07,4.40315e-07
1.11,-4.12518e-07,-1.05793e-06,5.265e-07,4.35187e-07
1.12,-4.90447e-07,-1.08046e-06,4.92265e-07,4.36297e-07
1.13,-4.76978e-07,-9.48831e-07,4.70637e-07,4.35077e-07
1.14,-5.86269e-07,-9.00024e-07,5.58271e-07,4.24239e-07
1.15,-6.06026e-07,-9.41997e-07,5.7332e-07,4.35364e-07
1.16,-5.2466e-07,-1.01482e-06,5.82835e-07,4.30811e-07
1.17,-5.42883e-07,-1.07474e-06,6.04292e-07,4.36155e-07
1.18,-6.53739e-07,-1.15526e-06,6.02504e-07,4.32606e-07
1.19,-7.74489e-07,-1.162e-06,5.30299e-07,4.34143e-07
1.2,-7.44396e-07,-1.195e-06,4.93459e-07,4.23601e-07
1.21,-7.87078e-07,-1.23819e-06,5.73482e-07,4.26412e-07
1.22,-7.86773e-07,-1.21605e-06,5.16814e-07,4.24054e-07
1.23,-7.83403e-07,-1.21518e-06,5.62653e-07,4.27573e-07
1.24,-8.8541e-07,-1.1859e-06,4.80131e-07,4.17668e-07
1.25,-8.13805e-07,-1.24087e-06,6.03304e-07,4.09135e-07
1.26,-7.04298e-07,-1.2913e-06,6.96248e-07,4.24098e-07
1.27,-7.10991e-07,-1.24817e-06,6.82131e-07,4.23644e-07
1.28,-6.30345e-07,-1.17169e-06,7.44905e-07,4.30257e-07
1.29,-6.78601e-07,-1.24416e-06,7.62252e-07,4.33066e-07
1.3,-6.75659e-07,-1.28249e-06,6.54224e-07,4.3617e-07
1.31,-6.52919e-07,-1.28853e-06,6.65532e-07,4.30786e-07
1.32,-6.09841e-07,-1.21455e-06,5.80661e-07,4.27724e-07
1.33,-6.2853e-07,-1.12124e-06,4.97215e-07,4.30817e-07
1.34,-6.69306e-07,-1.08181e-06,4.99463e-07,4.38001e-07
1.35,-6.24672e-07,-1.17975e-06,3.89499e-07,4.24304e-07
1.36,-6.48528e-07,-1.06513e-06,3.20449e-07,4.28348e-07
1.37,-6.0857e-07,-1.11294e-06,2.62157e-07,4.33515e-07
1.38,-5.17817e-07,-1.19368e-06,2.81942e-07,4.26557e-07
1.39,-4.84199e-07,-1.24171e-06,2.23228e-07,4.2407e-07
