x,y,z
1.89785e-09,-1.70102e-06,5.0419e-07
1.69447e-06,7.54985e-07,-7.25539e-08
7.52024e-07,1.86134e-06,-9.95196e-08
-5.86233e-07,1.57169e-06,4.3465e-07
-3.83792e-07,-1.52242e-06,2.60778e-07
-5.59102e-07,8.94838e-07,1.42869e-06
1.56312e-06,1.1964e-06,4.98351e-07
-7.9137e-07,1.74872e-06,5.41002e-08
1.55397e-06,3.89235e-07,2.58101e-07
-1.6884e-06,5.54624e-07,-1.24956e-07
1.20869e-06,1.14381e-06,6.00281e-07
4.28801e-07,-5.50977e-07,1.23773e-06
-1.32353e-06,3.66722e-07,1.26291e-06
1.42497e-06,-1.18294e-07,9.63115e-07
1.01126e-07,9.72839e-07,1.60797e-06
-1.24763e-06,-9.1805e-07,1.4909e-06
2.24329e-07,1.56215e-06,5.38263e-08
1.13979e-06,-1.38719e-06,1.00254e-06
-1.82384e-06,1.30838e-06,1.30423e-07
1.75121e-06,7.10747e-07,-1.6855e-07
-4.04173e-07,3.95093e-07,1.90815e-06
1.20297e-06,1.23382e-06,1.15409e-06
-9.04788e-07,4.90119e-07,5.94319e-07
1.88085e-06,-9.99646e-08,3.62825e-07
-1.17861e-06,5.00096e-07,5.12316e-07
-3.02295e-07,1.31049e-07,1.14316e-06
4.75806e-07,-1.3457e-06,4.80243e-07
1.14347e-06,1.26704e-06,1.03394e-06
-5.20151e-07,-2.65171e-07,1.05474e-06
-8.31591e-07,-1.35784e-06,6.90003e-07
-7.03346e-07,4.97853e-07,1.0933e-06
2.65755e-07,1.54055e-06,1.05207e-06
-5.07084e-07,-1.41025e-06,1.41618e-07
-1.2049e-06,8.74981e-07,1.2116e-06
1.3096e-06,-1.54385e-06,7.87834e-07
1.6474e-07,8.78733e-07,1.32984e-06
-8.05803e-07,1.61277e-07,1.57396e-06
-1.33371e-06,-1.46252e-06,3.65507e-07
1.63217e-06,-1.3649e-06,3.48561e-07
1.63629e-06,1.03038e-06,9.48161e-07
9.30349e-07,-6.602e-08,1.53875e-07
-4.12465e-07,1.2992e-06,1.42887e-06
9.99978e-07,-1.42853e-06,2.59072e-07
6.17329e-07,3.0862e-07,1.68064e-06
1.42636e-06,-1.01923e-06,1.31206e-06
1.5024e-06,-6.81149e-07,6.91939e-07
-4.63187e-07,9.75964e-07,5.80384e-07
-7.82202e-07,-1.21473e-06,1.46825e-06
-1.54703e-06,9.84697e-07,2.62709e-07
1.10901e-06,-8.1905e-07,1.14481e-06
-2.31467e-07,2.63739e-07,2.31133e-07
-1.55095e-06,-4.10983e-07,2.93703e-07
-1.21792e-06,-1.3994e-06,1.00495e-06
6.90248e-08,-4.77616e-07,1.58395e-06
-7.14651e-08,2.0808e-08,6.6862e-07
-7.40004e-07,7.7565e-07,1.42868e-06
-1.60152e-06,-1.74483e-07,4.47825e-07
3.01147e-08,1.14815e-07,1.3731e-06
4.39831e-07,7.95415e-07,1.66548e-06
-3.12056e-07,-1.44881e-06,5.48896e-07
-5.74447e-08,2.16465e-07,1.12651e-06
-1.57303e-06,-4.57224e-07,1.15503e-06
1.42964e-06,-1.55879e-07,1.01749e-07
9.76223e-07,-9.49641e-07,1.38009e-06
6.59027e-07,-1.62177e-06,4.57269e-07
-1.26821e-06,-1.1952e-06,1.05831e-06
-1.42151e-06,-1.8469e-06,6.65629e-07
-7.95052e-07,-1.10899e-07,1.2876e-06
2.00342e-07,-9.41818e-07,1.35525e-06
-1.60982e-06,-1.24151e-06,1.89922e-07
-8.94747e-07,8.69037e-07,9.06918e-07
1.2336e-06,1.18063e-06,1.11763e-06
8.07492e-07,2.5518e-07,-1.75211e-07
1.25665e-06,-9.04627e-07,7.17568e-07
-1.65788e-06,1.52487e-06,-9.31814e-08
1.59307e-08,-8.21089e-07,-2.56869e-09
4.56887e-07,3.02209e-07,1.57995e-06
-7.99784e-09,-1.59076e-06,8.73526e-07
-1.48503e-06,1.72502e-07,1.15454e-06
-6.92994e-07,-7.82162e-07,4.77454e-07
-1.53352e-06,1.72531e-06,9.75749e-07
-1.40366e-06,1.07552e-06,1.33773e-06
-7.59122e-07,-1.16718e-06,9.47003e-07
6.63722e-07,1.54901e-07,1.25758e-06
-1.48818e-06,4.19641e-09,4.06325e-07
-2.74245e-07,3.10644e-07,1.48611e-06
1.60035e-06,-1.59902e-06,1.60276e-08
3.48412e-08,8.62849e-07,1.19594e-06
-1.16445e-06,-4.00977e-07,9.77682e-07
4.65279e-07,1.6401e-06,9.73304e-07
-1.18183e-06,1.31001e-06,9.66338e-07
1.75484e-06,6.66176e-07,5.27393e-07
