t,x,y,z,v
0.82,-1.33245e-06,-1.72689e-07,-5.80452e-07,4.65831e-07
0.83,-1.23855e-06,-1.27629e-07,-5.45465e-07,4.58451e-07
0.84,-1.22228e-06,-1.95277e-07,-4.60541e-07,4.54177e-07
0.85,-1.18788e-06,-2.80974e-07,-3.74971e-07,4.60922e-07
0.86,-1.18121e-06,-2.59577e-07,-4.64239e-07,4.59609e-07
0.87,-1.15756e-06,-3.64791e-07,-4.46957e-07,4.55634e-07
0.88,-9.96123e-07,-4.18259e-07,-5.21392e-07,4.60283e-07
0.89,-1.12251e-06,-4.20705e-07,-5.04763e-07,4.68942e-07
0.9,-1.15839e-06,-4.62044e-07,-5.08352e-07,4.60658e-07
0.91,-1.2056e-06,-4.06853e-07,-5.32834e-07,4.55538e-07
0.92,-1.19652e-06,-4.1605e-07,-5.48228e-07,4.59182e-07
0.93,-1.18166e-06,-4.52716e-07,-5.85112e-07,4.57393e-07
0.94,-1.07964e-06,-4.67608e-07,-6.10877e-07,4.56032e-07
0.95,-1.00498e-06,-5.40752e-07,-6.05232e-07,4.54517e-07
0.96,-9.73966e-07,-5.86749e-07,-6.42974e-07,4.61128e-07
0.97,-8.97162e-07,-5.8799e-07,-6.70509e-07,4.61022e-07
0.98,-7.90508e-07,-6.0573e-07,-7.90042e-07,4.58549e-07
0.99,-8.82373e-07,-6.01723e-07,-8.28521e-07,4.60151e-07
1,-7.9707e-07,-6.84119e-07,-8.76322e-07,4.57974e-07
1.01,-8.08979e-07,-6.59546e-07,-7.93385e-07,4.58e-07
1.02,-8.03491e-07,-7.08473e-07,-6.75959e-07,4.61392e-07
1.03,-8.73445e-07,-7.42382e-07,-6.53589e-07,4.61632e-07
1.04,-8.02849e-07,-8.17238e-07,-7.20256e-07,4.59256e-07
1.05,-7.55451e-07,-7.26607e-07,-6.78139e-07,4.60254e-07
1.06,-7.46649e-07,-7.17366e-07,-5.84354e-07,4.63344e-07
1.07,-7.32937e-07,-7.70664e-07,-6.4585e-07,4.61403e-07
1.08,-7.40113e-07,-9.15529e-07,-5.07425e-07,4.5975e-07
1.09,-7.70132e-07,-9.40569e-07,-6.03392e-07,4.61626e-07
1.1,-8.13022e-07,-7.6246e-07,-6.38867e-07,4.57983e-07
1.11,-8.95936e-07,-7.72438e-07,-5.01523e-07,4.55621e-07
1.12,-8.30002e-07,-8.4879e-07,-4.69745e-07,4.56407e-07
1.13,-9.4691e-07,-7.934e-07,-4.66136e-07,4.54336e-07
1.14,-9.71366e-07,-7.03037e-07,-4.52461e-07,4.60622e-07
1.15,-9.87913e-07,-7.40943e-07,-4.91769e-07,4.65301e-07
1.16,-1.03855e-06,-6.48847e-07,-5.24572e-07,4.64565e-07
1.17,-1.17497e-06,-6.59256e-07,-4.89346e-07,4.62571e-07
1.18,-1.17194e-06,-6.52528e-07,-5.19325e-07,4.61224e-07
1.19,-1.10204e-06,-7.17246e-07,-4.89057e-07,4.5931e-07
