t,x,y,z,v
0.84,-9.75554e-07,6.84322e-08,4.75836e-07,4.9214e-07
0.85,-8.9008e-07,1.12162e-07,4.61194e-07,5.11426e-07
0.86,-8.02022e-07,1.59511e-07,5.45659e-07,5.12277e-07
0.87,-7.59973e-07,6.6298e-08,5.9542e-07,5.27238e-07
0.88,-8.24483e-07,1.02815e-07,5.9526e-07,5.2821e-07
0.89,-7.93165e-07,5.17748e-08,6.13013e-07,5.34605e-07
0.9,-9.11559e-07,-6.15284e-08,5.56319e-07,5.41024e-07
0.91,-9.26491e-07,-5.04538e-08,4.8436e-07,5.40729e-07
0.92,-9.03524e-07,-5.45368e-08,4.81631e-07,5.30492e-07
0.93,-9.96814e-07,2.18992e-09,4.48362e-07,5.0911e-07
0.94,-1.08222e-06,4.90827e-08,4.84547e-07,5.00406e-07
0.95,-1.17862e-06,1.03572e-07,4.76975e-07,5.15427e-07
0.96,-1.11717e-06,1.76841e-07,5.69407e-07,5.10942e-07
0.97,-1.07056e-06,1.72015e-07,6.25723e-07,5.12623e-07
0.98,-1.15932e-06,1.65444e-07,6.86849e-07,5.41371e-07
0.99,-1.06017e-06,1.43149e-07,5.82026e-07,5.05765e-07
1,-1.15902e-06,2.44512e-07,5.31769e-07,4.99661e-07
1.01,-1.11635e-06,2.87281e-07,5.74223e-07,5.25365e-07
1.02,-1.159e-06,2.34319e-07,5.79902e-07,5.57835e-07
1.03,-1.14277e-06,1.89931e-07,6.45782e-07,5.85877e-07
1.04,-1.14693e-06,1.08297e-07,7.44936e-07,5.7707e-07
1.05,-1.16287e-06,5.24545e-08,6.97295e-07,5.89252e-07
1.06,-1.21551e-06,-2.08677e-08,6.86907e-07,5.54188e-07
1.07,-1.13704e-06,1.5183e-08,6.25723e-07,5.31989e-07
1.08,-1.21663e-06,-1.03688e-07,6.82382e-07,5.47886e-07
1.09,-1.17954e-06,-1.34484e-07,6.36759e-07,5.47689e-07
1.1,-1.20387e-06,-5.90361e-09,5.39633e-07,5.34351e-07
1.11,-1.18955e-06,7.89375e-08,5.18135e-07,5.28182e-07
1.12,-1.09284e-06,1.57085e-07,5.53634e-07,5.59681e-07
1.13,-1.15686e-06,9.23465e-08,5.19634e-07,5.77282e-07
1.14,-1.2313e-06,2.53389e-08,5.28241e-07,5.73017e-07
1.15,-1.12026e-06,-6.36878e-08,4.91619e-07,5.82755e-07
1.16,-1.21024e-06,-3.05883e-08,4.39265e-07,5.93905e-07
1.17,-1.10005e-06,3.42199e-08,4.60189e-07,5.54848e-07
1.18,-1.06936e-06,-5.92335e-08,3.79595e-07,5.75456e-07
1.19,-1.00165e-06,-1.20243e-07,4.30363e-07,5.95097e-07
1.2,-9.58561e-07,-1.5853e-07,4.02494e-07,5.97105e-07
1.21,-9.14578e-07,-1.47148e-07,3.20176e-07,5.94643e-07
1.22,-8.23926e-07,-1.8487e-07,2.07589e-07,5.91486e-07
1.23,-8.08867e-07,-1.05041e-07,1.86258e-07,6.27456e-07
1.24,-8.23065e-07,-1.56203e-07,1.96936e-07,6.19512e-07
1.25,-8.47223e-07,-1.74453e-07,3.28223e-07,6.79209e-07
1.26,-8.66912e-07,-2.47774e-07,3.90317e-07,7.33934e-07
1.27,-8.07769e-07,-3.48159e-07,3.77901e-07,7.13261e-07
1.28,-7.27558e-07,-3.85364e-07,4.02088e-07,7.07201e-07
1.29,-7.47624e-07,-3.36983e-07,4.22592e-07,7.43683e-07
1.3,-7.41421e-07,-3.17522e-07,4.38508e-07,7.30939e-07
1.31,-7.66701e-07,-3.04215e-07,5.51008e-07,7.14198e-07
1.32,-7.31789e-07,-2.48673e-07,5.45468e-07,6.57936e-07
1.33,-7.22497e-07,-2.87127e-07,4.88916e-07,6.74566e-07
1.34,-6.21284e-07,-2.51734e-07,3.72176e-07,6.31264e-07
1.35,-6.20582e-07,-1.95064e-07,2.85832e-07,6.35709e-07
1.36,-6.5078e-07,-1.9686e-07,2.41917e-07,6.50586e-07
1.37,-6.77127e-07,-1.61069e-07,3.27381e-07,7.1369e-07
1.38,-5.9115e-07,-2.73399e-07,3.92706e-07,7.23306e-07
1.39,-5.55923e-07,-2.67912e-07,4.37571e-07,7.69368e-07
1.4,-5.89547e-07,-2.64948e-07,4.82817e-07,7.66162e-07
1.41,-6.09454e-07,-2.49552e-07,4.31972e-07,7.92484e-07
1.42,-5.51192e-07,-8.57578e-08,5.11922e-07,7.49374e-07
